name,description,price,amount,total price(GBP),Total price(usd),Running price,LINK,
rp2040 plus,micrcontroller,5.99,1,,10.99,5.99,https://www.waveshare.com/rp2040-plus.htm?sku=20290,
creamy jade,switches,16.31,1,16.31,22.1816,16.98,https://s.click.aliexpress.com/e/_Ew0y6KC,
kalih hotswap plugs,make kb hotwsap,6.89,1,6.89,9.3704,39.1616,https://s.click.aliexpress.com/e/_Eu0bNPO,
MCP23017,Port expander,2.01,1,2.01,2.7336,48.532,https://s.click.aliexpress.com/e/_EypYMqC,
0.91 inch oled,shows info,1.79,1,1.79,2.4344,51.2656,https://a.aliexpress.com/_EuIBQWY,
stabilizer,for long keys,3.94,1,3.94,5.3584,53.7,https://s.click.aliexpress.com/e/_ExPudE8,
m3 heat inserts,screw things in,2.46,1,2.46,3.3456,59.0584,https://s.click.aliexpress.com/e/_EJB9bIc,
rotary encoder,change things like volume,0.79,1,0.79,1.0744,62.404,https://s.click.aliexpress.com/e/_EuTjwLi,
1n4148w diodes,stop ghosting,1.25,1,1.25,1.7,63.4784,https://s.click.aliexpress.com/e/_Ey54lbQ,
step up converter,change 3.3v to 5v for leds,0.72,1,0.72,0.9792,65.1784,https://a.aliexpress.com/_ExfFVog,
rubber feet,stop keyboard from slipping,1.22,1,1.22,1.6592,66.1576,https://s.click.aliexpress.com/e/_EHUOXNE,
sk6812 mini,lights for keys,4.69,1,4.69,6.3784,67.8168,https://a.aliexpress.com/_EwElRLO,
case,3d printed-keep everything together,0,1,0,0,67.8168,,
keycaps,for switches - already owned,0,1,0,0,74.1952,,
pcb ,connect all together ,25.87,1,0,25.87,74.1952,https://jlcpcb.com,
,,,,,,100.0652,With discounts:,$96 
